Date_str,views_as_of_Jan-15-18,song_parody,video_title,trasncript,transcript source,video_link,vid length (min)
"Sep 20, 2016","240,786",n,"""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""",interviewsTrumpCampaign.txt,youtube,https://www.youtube.com/watch?v=fkIDDl1u53g,2:53
"Sep 9, 2016","86,063",n,"""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""",interviewsGaryJohnson.txt,youtube,https://www.youtube.com/watch?v=iYSQH8SFHDY,2:18
"Sep 3, 2016","100,453",n,"""RANDY RAINBOW Interviews LATINOS FOR TRUMP""",interviewsLatinosForTump.txt,youtube,https://www.youtube.com/watch?v=8CtrLnBxeNY,2:36
"Aug 19, 2016","92,667",n,"""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""",interviewsTrumpsAttorney.txt,youtube,https://www.youtube.com/watch?v=JjTqyNe0C1w,2:43
"Aug 2, 2016","148,006",n,"""Randy Rainbow Interviews DONALD TRUMP: Part II""",interviewsDonaldTrumpPart2.txt,youtube,https://www.youtube.com/watch?v=q81Howk0Dto,2:37
"Jul 28, 2016","82,555",n,"""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""",interviewsHillaryClintonTimKaine.txt,youtube,https://www.youtube.com/watch?v=u1XjA0X2uRU,3:11
"Jul 21, 2016","8,475",y,"""Ya Got Trump Trouble!""",yaGotTrumpTrouble.txt,youtube,https://www.youtube.com/watch?v=5_k1L7IHYx0,3:44
"Jun 7, 2016","148,232",y,"""SORRY, YOU'RE NOT HAMILTON""",sorryYoureNotHamilton.txt,youtube,https://www.youtube.com/watch?v=S10DtYaIg0g,3:27
"May 19, 2016","166,204",n,"""Randy Rainbow Interviews Donald Trump""",randyRainbowInterviewsDonaldTrump.txt,youtube,https://www.youtube.com/watch?v=8Dw3DXBeKIM,2:32
"May 5, 2016","71,113",y,"""TED CRUZ GOP DROPOUT""",tedCruzGOPdropout.txt,youtube,https://www.youtube.com/watch?v=vdB9nTe4ldE,3:34
"May 5, 2016","28,523",y,"""JOHN KASICH GOP DROPOUT""",johnKasichGOPdropout.txt,youtube,https://www.youtube.com/watch?v=0-XDpLkLNRk,3:18
"Apr 29, 2016","47,820",y,"""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""",carlyFiorinaDuet.txt,youtube,https://www.youtube.com/watch?v=rsWEd-phvyw,2:43
"Apr 24, 2016","81,567",n,"""Randy Rainbow Interviews Barbra Streisand""",randyRainbowInterviewsBarbaraStreisand.txt,youtube,https://www.youtube.com/watch?v=vRvsNj1tGQs,3:47
"Mar 16, 2016","64,575",y,"""Marco Rubio: GOP DROPOUT""",marcoRubioGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KmGuIssaeEg,3:21
"Mar 4, 2016","41,367",y,"""Ben Carson: GOP DROPOUT""",benCarsonGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KMQgdOLylXo,3:16
"Feb 22, 2016","51,194",y,"""Jeb Bush GOP DROPOUT""",jobBushGOPdropout.txt,youtube,https://www.youtube.com/watch?v=7BntyhRqBAA,3:17
"Feb 12, 2016","77,885",y,"""Carly Fiorina GOP DROPOUT""",carlyFiorinaGOPdropout.txt,youtube,https://www.youtube.com/watch?v=jmssam01R2M,3:12
"Jan 18, 2016","147,033",y,"""Randy Rainbow Performs at a Donald Trump Rally""",none,none,https://www.youtube.com/watch?v=jDxSg1fSrws,2:19
"Dec 24, 2015","12,135",n,"""Merry Jewish Christmas""",merryJewishChristmas.txt,youtube,https://www.youtube.com/watch?v=TK4PRgXXm9U,1:31
"Oct 21, 2015","42,254",n,"""Randy Rainbow Trick-or-Treats Kim Davis""",trickOrTreatsKimDavis.txt,youtube,https://www.youtube.com/watch?v=BgwRl_T1aP8,3:54
"Sep 7, 2015","473,455",y,"""The KIM DAVIS Cell Block Tango - Randy Rainbow""",kimDavisCellBlockTango.txt,youtube,https://www.youtube.com/watch?v=14C3TZg6NQM,3:31
"Jun 1, 2015","21,888",n,"""Randy Rainbow And Shia LaBeouf Get Ready For Bed""",randyShiaGetReadyForBed.txt,youtube,https://www.youtube.com/watch?v=jD-JqOXCrEo,1:03
"Apr 23, 2015","31,282",n,"""Randy Rainbow Interviews Robert Downey Jr.""",interviewsRobertDowneyJr.txt,youtube,https://www.youtube.com/watch?v=Rq0XX8AcDH0,2:49
"Mar 29, 2015","160,979",y,"""A Song for Indiana - Randy Rainbow""",aSongForIndiana.txt,youtube,https://www.youtube.com/watch?v=cUA9m-g12ag,2:13
"Dec 23, 2014","21,813",n,"""Merry Christmas from Randy Rainbow & Bill Cosby!""",none,none,https://www.youtube.com/watch?v=5bkjyHwSJYk,2:41
"May 20, 2014","9,284",n,"""Donald Sterling Talks to Randy Rainbow""",donaldSterlingTalksToRandyRainbow.txt,youtube,https://www.youtube.com/watch?v=NcMWEgmI84M,3:00
"Mar 6, 2014","84,456",y,"""ADELE DAZEEM""",adeleDazeem.txt,youtube,https://www.youtube.com/watch?v=6SgGxP5TqSE,3:26
"Dec 25, 2013","55,478",n,"""Randy Rainbow: A Jew for Christmas""",aJewForChristmas.txt,youtube,https://www.youtube.com/watch?v=wsZyELYDzO0,3:18
"Aug 30, 2013","7,529",n,"""Behind the Tiara - Randy Rainbow and Ivy Profen""",behindTheTiara.txt,youtube,https://www.youtube.com/watch?v=sYTzq70TsFo,5:50
"Aug 1, 2013","52,405",n,"""Anthony Weiner is Dating Randy Rainbow""",anthonyWeinerDatingRandy.txt,youtube,https://www.youtube.com/watch?v=3BBiN98XVvE,4:02
"Jan 26, 2013","4,003",n,"""NEW RANDY RAINBOW SHOW!""",newRandyRainbowShow.txt,youtube,https://www.youtube.com/watch?v=J_JkjjdgaWA,1:28
"Dec 17, 2012","8,560",y,"""Susan Boyle the Awkward Diva | Randy Rainbow""",susanBoyleAwkwardDiva.txt,youtube,https://www.youtube.com/watch?v=XcjBQrb202o,1:35
"Aug 1, 2012","384,517",n,"""Randy Rainbow Works at Chick-fil-A""",randyRainbowWorksAtChickFilA.txt,youtube,https://www.youtube.com/watch?v=jiZLFjbqDxQ,3:40
"Jul 15, 2012","36,805",n,"""High School Musical Starring Randy Rainbow""",highSchoolMusical.txt,youtube,https://www.youtube.com/watch?v=JO571wGDucE,5:22
"Jul 5, 2012","47,428",n,"""Tom Cruise and Anderson Cooper Speed Date""",tomCruiseAndersonCooperSpeedDate.txt,youtube,https://www.youtube.com/watch?v=G-R7qRPiHtE,5:27
"May 13, 2012","33,455",n,"""John Travolta Harasses Randy Rainbow""",johnTravoltaHarassesRandy.txt,youtube,https://www.youtube.com/watch?v=jdMuwTRofR0,4:18
"Mar 11, 2012","54,033",n,"""Kirk Cameron is Dating Randy Rainbow""",kirkCameronDatingRandy.txt,youtube,https://www.youtube.com/watch?v=_la4rrc_53c,4:53
"Feb 13, 2012","16,331",n,"""Mitt Romney, Kiss Me!""",mittRomneyKissMe.txt,youtube,https://www.youtube.com/watch?v=Or2jsyGBxrg,4:30
"Dec 25, 2011","27,581",y,"""Rick Perry and Randy Rainbow: The XMas Album""",rickPerryRandyRainbowXmas.txt,youtube,https://www.youtube.com/watch?v=1DUYZQHeqjI,5:09
"Nov 13, 2011","18,309",n,"""Rick Perry Gets a Drunk Phone Call from Randy Rainbow""",rickPerryGetsDrunkPhoneCall.txt,youtube,https://www.youtube.com/watch?v=ZQqDWuXT51w,4:43
