Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-9-18,views_as_of_Feb-21-18,video_title
"Feb 6, 2017","438,284","439,903",y,factChecker.txt,youtube,https://www.youtube.com/watch?v=NLaYDmJYE8k,3:39,"446,727","444,511","""FACT-CHECKER, FACT-CHECKER"""
"Jan 24, 2017","617,119","619,749",y,alternativeFacts.txt,youtube,https://www.youtube.com/watch?v=OdV_8TGswRA,3:35,"627,872","625,004","""ALTERNATIVE FACTS"""
"Jan 17, 2017","76,385","76,836",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,https://www.youtube.com/watch?v=IMBwyVGUFls,2:58,"78,000","77,562","""Randy Rainbow Interviews Jennifer Holliday"""
"Jan 11, 2017","258,528","259,456",y,tweetsTweetsNothingButTweets.txt,youtube,https://www.youtube.com/watch?v=qEVtRrcg3dg,3:11,"263,101","261,830","""TWEETS, TWEETS & NOTHING BUT TWEETS"""
"Jan 9, 2017","239,524","244,618",n,exitInterviewsBarackObama.txt,youtube,https://www.youtube.com/watch?v=NEel6Ng2e-0,4:02,"256,143","252,465","""Randy Rainbow Exit-Interviews Barack Obama"""
"Dec 14, 2016","164,050","165,317",n,interviewsDonaldTrumpPart3.txt,youtube,https://www.youtube.com/watch?v=5e3FuzTPFT0,4:10,"169,071","167,871","""Randy Rainbow Interviews Donald Trump: PART THREE"""
"Nov 22, 2016","246,664","248,609",y,donaldTrumpGrowUp.txt,youtube,https://www.youtube.com/watch?v=5Gxp6gzKvXk,4:18,"260,226","256,726","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody"""
"Nov 16, 2016","205,302","209,292",n,interviewsNewFirstFamily.txt,youtube,https://www.youtube.com/watch?v=o5harjyjggI,3:59,"220,183","216,402","""Randy Rainbow Interviews the New First Family!"""
"Nov 10, 2016","79,248","79,861",y,none,none,https://www.youtube.com/watch?v=uc87elr2Ohs,2:55,"81,871","81,149","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)"""
"Nov 6, 2016","98,698","99,574",y,none,none,https://www.youtube.com/watch?v=G19s4OmvFw8,2:51,"102,600","101,597","""TRUMP-PENCE, TRUMP-PENCE"""
"Oct 24, 2016","261,625","262,960",y,nastyWoman.txt,youtube,https://www.youtube.com/watch?v=WC7u_IKEWwA,3:38,"267,953","266,289","""THE NASTY WOMAN"""
"Oct 18, 2016","754,213","766,797",n,interviewsMelaniaTrump.txt,youtube,https://www.youtube.com/watch?v=oYagr8TdBl0,3:45,"797,357","790,214","""RANDY RAINBOW Interviews MELANIA TRUMP!"""
"Oct 10, 2016","220,307","221,346",y,grabEmBy.txt,youtube,https://www.youtube.com/watch?v=1jp-PK1TihE,2:14,"224,970","223,763","""GRAB 'EM BY THE P***Y! (Censored)"""
"Oct 6, 2016","91,104","91,538",n,randyRainbowModerates2016VPdebate.txt,youtube,https://www.youtube.com/watch?v=xGA5O49T_qE,4:03,"92,925","92,462","""RANDY RAINBOW Moderates the 2016 VP DEBATE"""
"Sep 28, 2016","927,568","935,816",y,braggadocious.txt,youtube,https://www.youtube.com/watch?v=ldfF6chin5s,2:57,"944,969","942,104","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1"""
"Sep 20, 2016","240,786","241,824",n,interviewsTrumpCampaign.txt,youtube,https://www.youtube.com/watch?v=fkIDDl1u53g,2:53,"245,546","244,357","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY"""
"Sep 9, 2016","86,063","86,362",n,interviewsGaryJohnson.txt,youtube,https://www.youtube.com/watch?v=iYSQH8SFHDY,2:18,"87,523","87,090","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo"""
"Sep 3, 2016","100,453","101,312",n,interviewsLatinosForTump.txt,youtube,https://www.youtube.com/watch?v=8CtrLnBxeNY,2:36,"103,767","102,880","""RANDY RAINBOW Interviews LATINOS FOR TRUMP"""
"Aug 19, 2016","92,667","93,591",n,interviewsTrumpsAttorney.txt,youtube,https://www.youtube.com/watch?v=JjTqyNe0C1w,2:43,"96,970","95,775","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho"""
"Aug 2, 2016","148,006","148,767",n,interviewsDonaldTrumpPart2.txt,youtube,https://www.youtube.com/watch?v=q81Howk0Dto,2:37,"150,762","150,134","""Randy Rainbow Interviews DONALD TRUMP: Part II"""
"Jul 28, 2016","82,555","83,038",n,interviewsHillaryClintonTimKaine.txt,youtube,https://www.youtube.com/watch?v=u1XjA0X2uRU,3:11,"84,453","84,009","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE"""
"Jul 21, 2016","8,475","10,886",y,yaGotTrumpTrouble.txt,youtube,https://www.youtube.com/watch?v=5_k1L7IHYx0,3:44,"17,607","15,358","""Ya Got Trump Trouble!"""
"Jun 7, 2016","148,232","151,610",y,sorryYoureNotHamilton.txt,youtube,https://www.youtube.com/watch?v=S10DtYaIg0g,3:27,"160,611","157,648","""SORRY, YOU'RE NOT HAMILTON"""
"May 19, 2016","166,204","167,043",n,randyRainbowInterviewsDonaldTrump.txt,youtube,https://www.youtube.com/watch?v=8Dw3DXBeKIM,2:32,"169,530","168,754","""Randy Rainbow Interviews Donald Trump"""
"May 5, 2016","71,113","71,482",y,tedCruzGOPdropout.txt,youtube,https://www.youtube.com/watch?v=vdB9nTe4ldE,3:34,"73,142","72,433","""TED CRUZ GOP DROPOUT"""
"May 5, 2016","28,523","28,755",y,johnKasichGOPdropout.txt,youtube,https://www.youtube.com/watch?v=0-XDpLkLNRk,3:18,"29,737","29,328","""JOHN KASICH GOP DROPOUT"""
"Apr 29, 2016","47,820","48,023",y,carlyFiorinaDuet.txt,youtube,https://www.youtube.com/watch?v=rsWEd-phvyw,2:43,"48,738","48,458","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)"""
"Apr 24, 2016","81,567","83,448",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,https://www.youtube.com/watch?v=vRvsNj1tGQs,3:47,"89,067","87,408","""Randy Rainbow Interviews Barbra Streisand"""
"Mar 16, 2016","64,575","64,911",y,marcoRubioGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KmGuIssaeEg,3:21,"66,282","65,687","""Marco Rubio: GOP DROPOUT"""
"Mar 4, 2016","41,367","41,723",y,benCarsonGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KMQgdOLylXo,3:16,"43,096","42,516","""Ben Carson: GOP DROPOUT"""
