Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-09-13,2020-08-17,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,2019-11-22,2020-01-20,2020-02-18,2020-03-03,2020-03-14,2020-03-22,2020-04-06,2020-04-25,2020-05-19,2020-06-07,2020-06-29,2020-07-06,2020-07-22,2020-08-10,,RemovedFromYoutube
"Feb 18, 2020",y,noRules.txt,youtube,4:38,XvbWKIqj6lA,".mp4
",https://www.youtube.com/watch?v=XvbWKIqj6lA,"969,699","934,082",NO RULES FOR DONALD - Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,088","527,338","559,314","580,997","614,385","651,820","706,765","754,728","809,392","847,054","886,270","922,925","
",
"Jan 20, 2020",y,thatDon.txt,youtube,4:37,qWbonwwFG-c,.mp4,https://www.youtube.com/watch?v=qWbonwwFG-c,"1,326,696","1,259,474",THAT DON! - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,476","563,921","625,843","669,191","685,086","710,725","777,263","1,014,350","1,053,596","1,123,939","1,153,317","1,196,692","1,235,198","
",
"Nov 22, 2019",y,quidproquo.txt,youtube,4:34,3mWTDI4aQZY,.mp4,https://www.youtube.com/watch?v=3mWTDI4aQZY,"977,968","964,080",He's Just a GURL Who'll QUID PRO QUO!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"167,490","808,038","840,620","852,663","858,371","862,462","872,631","883,146","902,686","915,519","929,283","936,190","948,249","960,251",,
"Oct 17, 2019",y,giuliani.txt,youtube,4:31,upBCQo5bkJc,.mp4,https://www.youtube.com/watch?v=upBCQo5bkJc,"1,200,959","1,181,053",GIULIANI! (Here He Goes Again),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"104,999","826,907","956,784","987,904","1,003,573","1,009,917","1,014,453","1,025,397","1,041,473","1,079,588","1,095,969","1,118,245","1,132,630","1,151,619","1,174,331",,
"Aug 29, 2019",y,cheetoChrist.txt,youtube,4:16,gW2SEpWWqXM,.mp4,https://www.youtube.com/watch?v=gW2SEpWWqXM,"2,063,684","2,003,671",CHEETO CHRIST STUPID-CZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102,412","1,228,948","1,338,106","1,423,253","1,453,435","1,472,610","1,488,192","1,501,140","1,526,868","1,586,280","1,705,208","1,775,937","1,848,397","1,883,347","1,934,210","1,986,852",,
"Jul 22, 2019",y,suckers.txt,youtube,4:44,wb219dz_NeA,.mkv,https://www.youtube.com/watch?v=wb219dz_NeA,"1,107,684","1,095,222",SUCKERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"112,892","739,525","881,977","930,143","968,346","983,863","990,336","994,475","997,190","1,003,583","1,012,805","1,029,660","1,041,215","1,059,872","1,067,199","1,079,331","1,091,696",,
"May 28, 2019",y,justImpeachHim.txt,youtube,4:35,7mZYd3DrX-c,.mkv,https://www.youtube.com/watch?v=7mZYd3DrX-c,"988,016","975,111",JUST IMPEACH HIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,082","524,607","610,271","732,742","808,740","852,722","871,396","878,762","883,222","886,476","892,733","901,341","917,627","927,907","940,612","947,668","959,115","971,532",,
"Apr 29, 2019",y,barr.txt,youtube,4:47,etTXjK-S7RI,.webm,https://www.youtube.com/watch?v=etTXjK-S7RI,"968,064","943,922",BARR! - Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,683","396,347","527,227","633,653","715,017","752,697","790,955","809,171","821,924","826,092","829,497","836,705","846,416","867,974","881,146","901,443","909,025","921,682","938,155",,
"Apr 2, 2019",y,cruellaDevos.txt,youtube,4:02,Bca9d5A-Y_U,.webm,https://www.youtube.com/watch?v=Bca9d5A-Y_U,"772,324","753,914","""CRUELLA DEVOS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,910","306,651","336,984","398,032","448,281","501,252","523,040","548,330","558,521","564,509","568,405","572,599","579,831","589,205","615,667","628,213","645,041","652,770","717,602","747,602",,
"Mar 28, 2019",y,muellerBlues.txt,youtube,4:46,l8dSbMZVFOg,.webm,https://www.youtube.com/watch?v=l8dSbMZVFOg,"402,646","396,976","""THE MUELLER BLUES""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,397","194,522","237,940","258,262","289,155","310,068","327,728","336,640","346,012","349,990","352,321","353,630","354,926","357,561","361,064","369,297","374,793","382,328","385,205","390,334","395,503",,
"Mar 6, 2019",y,hesInLove.txt,youtube,4:35,z7q0bz0sk30,.webm,https://www.youtube.com/watch?v=z7q0bz0sk30,"926,501","901,882","""HE'S IN LOVE (and we're all gonna die)""y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,901","453,838","465,717","487,644","506,589","568,220","630,199","692,365","712,478","745,548","755,400","760,448","763,524","766,236","772,537","781,944","808,400","823,882","846,076","858,291","879,746","896,832",,
