Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-17-18,views_as_of_March-9-18,video_title,views_as_of_Feb-21-18
"Dec 14, 2016","164,050","165,317",n,interviewsDonaldTrumpPart3.txt,youtube,https://www.youtube.com/watch?v=5e3FuzTPFT0,4:10,"169,674","169,071","""Randy Rainbow Interviews Donald Trump: PART THREE""","167,871"
"Nov 22, 2016","246,664","248,609",y,donaldTrumpGrowUp.txt,youtube,https://www.youtube.com/watch?v=5Gxp6gzKvXk,4:18,"261,507","260,226","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","256,726"
"Nov 16, 2016","205,302","209,292",n,interviewsNewFirstFamily.txt,youtube,https://www.youtube.com/watch?v=o5harjyjggI,3:59,"222,948","220,183","""Randy Rainbow Interviews the New First Family!""","216,402"
"Nov 10, 2016","79,248","79,861",y,none,none,https://www.youtube.com/watch?v=uc87elr2Ohs,2:55,"82,217","81,871","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","81,149"
"Nov 6, 2016","98,698","99,574",y,none,none,https://www.youtube.com/watch?v=G19s4OmvFw8,2:51,"103,002","102,600","""TRUMP-PENCE, TRUMP-PENCE""","101,597"
"Oct 24, 2016","261,625","262,960",y,nastyWoman.txt,youtube,https://www.youtube.com/watch?v=WC7u_IKEWwA,3:38,"268,583","267,953","""THE NASTY WOMAN""","266,289"
"Oct 18, 2016","754,213","766,797",n,interviewsMelaniaTrump.txt,youtube,https://www.youtube.com/watch?v=oYagr8TdBl0,3:45,"799,870","797,357","""RANDY RAINBOW Interviews MELANIA TRUMP!""","790,214"
"Oct 10, 2016","220,307","221,346",y,grabEmBy.txt,youtube,https://www.youtube.com/watch?v=1jp-PK1TihE,2:14,"225,398","224,970","""GRAB 'EM BY THE P***Y! (Censored)""","223,763"
"Oct 6, 2016","91,104","91,538",n,randyRainbowModerates2016VPdebate.txt,youtube,https://www.youtube.com/watch?v=xGA5O49T_qE,4:03,"93,155","92,925","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","92,462"
"Sep 28, 2016","927,568","935,816",y,braggadocious.txt,youtube,https://www.youtube.com/watch?v=ldfF6chin5s,2:57,"946,285","944,969","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","942,104"
"Sep 20, 2016","240,786","241,824",n,interviewsTrumpCampaign.txt,youtube,https://www.youtube.com/watch?v=fkIDDl1u53g,2:53,"246,225","245,546","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","244,357"
"Sep 9, 2016","86,063","86,362",n,interviewsGaryJohnson.txt,youtube,https://www.youtube.com/watch?v=iYSQH8SFHDY,2:18,"87,701","87,523","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""","87,090"
"Sep 3, 2016","100,453","101,312",n,interviewsLatinosForTump.txt,youtube,https://www.youtube.com/watch?v=8CtrLnBxeNY,2:36,"104,168","103,767","""RANDY RAINBOW Interviews LATINOS FOR TRUMP""","102,880"
"Aug 19, 2016","92,667","93,591",n,interviewsTrumpsAttorney.txt,youtube,https://www.youtube.com/watch?v=JjTqyNe0C1w,2:43,"97,547","96,970","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""","95,775"
"Aug 2, 2016","148,006","148,767",n,interviewsDonaldTrumpPart2.txt,youtube,https://www.youtube.com/watch?v=q81Howk0Dto,2:37,"151,105","150,762","""Randy Rainbow Interviews DONALD TRUMP: Part II""","150,134"
"Jul 28, 2016","82,555","83,038",n,interviewsHillaryClintonTimKaine.txt,youtube,https://www.youtube.com/watch?v=u1XjA0X2uRU,3:11,"84,645","84,453","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""","84,009"
"Jul 21, 2016","8,475","10,886",y,yaGotTrumpTrouble.txt,youtube,https://www.youtube.com/watch?v=5_k1L7IHYx0,3:44,"18,714","17,607","""Ya Got Trump Trouble!""","15,358"
"Jun 7, 2016","148,232","151,610",y,sorryYoureNotHamilton.txt,youtube,https://www.youtube.com/watch?v=S10DtYaIg0g,3:27,"163,546","160,611","""SORRY, YOU'RE NOT HAMILTON""","157,648"
"May 19, 2016","166,204","167,043",n,randyRainbowInterviewsDonaldTrump.txt,youtube,https://www.youtube.com/watch?v=8Dw3DXBeKIM,2:32,"169,924","169,530","""Randy Rainbow Interviews Donald Trump""","168,754"
"May 5, 2016","71,113","71,482",y,tedCruzGOPdropout.txt,youtube,https://www.youtube.com/watch?v=vdB9nTe4ldE,3:34,"73,419","73,142","""TED CRUZ GOP DROPOUT""","72,433"
"May 5, 2016","28,523","28,755",y,johnKasichGOPdropout.txt,youtube,https://www.youtube.com/watch?v=0-XDpLkLNRk,3:18,"29,877","29,737","""JOHN KASICH GOP DROPOUT""","29,328"
"Apr 29, 2016","47,820","48,023",y,carlyFiorinaDuet.txt,youtube,https://www.youtube.com/watch?v=rsWEd-phvyw,2:43,"48,844","48,738","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""","48,458"
"Apr 24, 2016","81,567","83,448",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,https://www.youtube.com/watch?v=vRvsNj1tGQs,3:47,"90,078","89,067","""Randy Rainbow Interviews Barbra Streisand""","87,408"
"Mar 16, 2016","64,575","64,911",y,marcoRubioGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KmGuIssaeEg,3:21,"66,494","66,282","""Marco Rubio: GOP DROPOUT""","65,687"
"Mar 4, 2016","41,367","41,723",y,benCarsonGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KMQgdOLylXo,3:16,"43,317","43,096","""Ben Carson: GOP DROPOUT""","42,516"
"Feb 22, 2016","51,194","51,511",y,jobBushGOPdropout.txt,youtube,https://www.youtube.com/watch?v=7BntyhRqBAA,3:17,"52,938","52,772","""Jeb Bush GOP DROPOUT""","52,242"
"Feb 12, 2016","77,885","79,462",y,carlyFiorinaGOPdropout.txt,youtube,https://www.youtube.com/watch?v=jmssam01R2M,3:12,"85,379","84,673","""Carly Fiorina GOP DROPOUT""","82,983"
"Jan 18, 2016","147,033","149,309",y,none,none,https://www.youtube.com/watch?v=jDxSg1fSrws,2:19,"155,879","154,932","""Randy Rainbow Performs at a Donald Trump Rally""","153,051"
"Dec 24, 2015","12,135","12,281",n,merryJewishChristmas.txt,youtube,https://www.youtube.com/watch?v=TK4PRgXXm9U,1:31,"12,747","12,685","""Merry Jewish Christmas""","12,546"
"Oct 21, 2015","42,254","42,576",n,trickOrTreatsKimDavis.txt,youtube,https://www.youtube.com/watch?v=BgwRl_T1aP8,3:54,"43,999","43,854","""Randy Rainbow Trick-or-Treats Kim Davis""","43,427"
"Sep 7, 2015","473,455","475,325",y,kimDavisCellBlockTango.txt,youtube,https://www.youtube.com/watch?v=14C3TZg6NQM,3:31,"483,774","482,949","""The KIM DAVIS Cell Block Tango - Randy Rainbow""","480,516"
