Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,vid length (min),video_link,views_as_of_June_21_2018,views_as_of_June-08-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18,views_as_of_April-20-18,views_as_of_March-17-18,views_as_of_May-07-18
"Oct 18, 2016","754,213","766,797",n,interviewsMelaniaTrump.txt,youtube,3:45,https://www.youtube.com/watch?v=oYagr8TdBl0,"820,623","818,085","""RANDY RAINBOW Interviews MELANIA TRUMP!""","790,214","797,357","808,197","799,870","811,011"
"Oct 10, 2016","220,307","221,346",y,grabEmBy.txt,youtube,2:14,https://www.youtube.com/watch?v=1jp-PK1TihE,"230,301","229,717","""GRAB 'EM BY THE P***Y! (Censored)""","223,763","224,970","227,313","225,398","227,966"
"Oct 6, 2016","91,104","91,538",n,randyRainbowModerates2016VPdebate.txt,youtube,4:03,https://www.youtube.com/watch?v=xGA5O49T_qE,"95,326","95,080","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","92,462","92,925","94,104","93,155","94,378"
"Sep 28, 2016","927,568","935,816",y,braggadocious.txt,youtube,2:57,https://www.youtube.com/watch?v=ldfF6chin5s,"960,988","959,023","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","942,104","944,969","951,855","946,285","953,934"
"Sep 20, 2016","240,786","241,824",n,interviewsTrumpCampaign.txt,youtube,2:53,https://www.youtube.com/watch?v=fkIDDl1u53g,"253,048","252,490","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","244,357","245,546","248,831","246,225","249,977"
"Sep 9, 2016","86,063","86,362",n,interviewsGaryJohnson.txt,youtube,2:18,https://www.youtube.com/watch?v=iYSQH8SFHDY,"89,748","89,546","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""","87,090","87,523","88,491","87,701","88,774"
"Sep 3, 2016","100,453","101,312",n,interviewsLatinosForTump.txt,youtube,2:36,https://www.youtube.com/watch?v=8CtrLnBxeNY,"108,509","108,071","""RANDY RAINBOW Interviews LATINOS FOR TRUMP""","102,880","103,767","105,819","104,168","106,414"
"Aug 19, 2016","92,667","93,591",n,interviewsTrumpsAttorney.txt,youtube,2:43,https://www.youtube.com/watch?v=JjTqyNe0C1w,"132,844","131,448","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""","95,775","96,970","105,972","97,547","115,259"
"Aug 2, 2016","148,006","148,767",n,interviewsDonaldTrumpPart2.txt,youtube,2:37,https://www.youtube.com/watch?v=q81Howk0Dto,"154,406","154,083","""Randy Rainbow Interviews DONALD TRUMP: Part II""","150,134","150,762","152,389","151,105","152,977"
"Jul 28, 2016","82,555","83,038",n,interviewsHillaryClintonTimKaine.txt,youtube,3:11,https://www.youtube.com/watch?v=u1XjA0X2uRU,"87,378","87,115","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""","84,009","84,453","85,668","84,645","86,123"
"Jul 21, 2016","8,475","10,886",y,yaGotTrumpTrouble.txt,youtube,3:44,https://www.youtube.com/watch?v=5_k1L7IHYx0,"27,669","26,861","""Ya Got Trump Trouble!""","15,358","17,607","22,779","18,714","24,124"
"Jun 7, 2016","148,232","151,610",y,sorryYoureNotHamilton.txt,youtube,3:27,https://www.youtube.com/watch?v=S10DtYaIg0g,"179,970","178,670","""SORRY, YOU'RE NOT HAMILTON""","157,648","160,611","172,901","163,546","174,801"
"May 19, 2016","166,204","167,043",n,randyRainbowInterviewsDonaldTrump.txt,youtube,2:32,https://www.youtube.com/watch?v=8Dw3DXBeKIM,"174,152","173,772","""Randy Rainbow Interviews Donald Trump""","168,754","169,530","171,545","169,924","172,263"
"May 5, 2016","71,113","71,482",y,tedCruzGOPdropout.txt,youtube,3:34,https://www.youtube.com/watch?v=vdB9nTe4ldE,"75,363","75,118","""TED CRUZ GOP DROPOUT""","72,433","73,142","74,309","73,419","74,524"
"May 5, 2016","28,523","28,755",y,johnKasichGOPdropout.txt,youtube,3:18,https://www.youtube.com/watch?v=0-XDpLkLNRk,"30,950","30,793","""JOHN KASICH GOP DROPOUT""","29,328","29,737","30,324","29,877","30,456"
"Apr 29, 2016","47,820","48,023",y,carlyFiorinaDuet.txt,youtube,2:43,https://www.youtube.com/watch?v=rsWEd-phvyw,"50,042","49,927","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""","48,458","48,738","49,374","48,844","49,537"
"Apr 24, 2016","81,567","83,448",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,3:47,https://www.youtube.com/watch?v=vRvsNj1tGQs,"97,205","96,626","""Randy Rainbow Interviews Barbra Streisand""","87,408","89,067","93,282","90,078","94,521"
