Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2018-07-16,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21
"May 15, 2017",y,none,none,4:23,V2OuJYaz_oE,.webm,https://www.youtube.com/watch?v=V2OuJYaz_oE,"235,691","""THE RUSSIAN CONNECTION""","207,970","210,420","215,341","218,148","219,628","225,372","227,241","231,021","232,220"
"May 1, 2017",y,unpopular.txt,youtube,4:33,TPg0BWvhMkA,.mkv,https://www.youtube.com/watch?v=TPg0BWvhMkA,"449,450","""UNPOPULAR!""","382,746","390,150","403,774","409,976","413,328","425,597","429,847","438,532","441,599"
"Apr 21, 2017",y,justMyBill.txt,youtube,3:11,_H48C_xf8HE,.webm,https://www.youtube.com/watch?v=_H48C_xf8HE,"141,504","""JUST MY BILL (O'Reilly)""","123,408","125,675","130,112","131,990","132,800","135,983","137,053","139,650","140,397"
"Apr 6, 2017",n,randyRainbowInterviewsIvankaTrump.txt,youtube,3:18,LPQYAT3wH_g,.webm,https://www.youtube.com/watch?v=LPQYAT3wH_g,"289,927","""Randy Rainbow Interviews Ivanka Trump""","212,721","220,275","233,385","241,381","249,893","267,457","270,162","281,296","283,839"
"Mar 19, 2017",y,killTheRelease.txt,youtube,2:30,ji5nOTjlVuA,.mkv,https://www.youtube.com/watch?v=ji5nOTjlVuA,"114,927","""KILL THE RELEASE!""","101,007","102,292","105,325","106,761","107,349","109,699","110,538","112,365","113,417"
"Mar 15, 2017",y,microwaves.txt,youtube,3:40,Ub5GkBtIjhc,.webm,https://www.youtube.com/watch?v=Ub5GkBtIjhc,"319,129","""MICROWAVES (Are Watching You!)""","280,154","284,506","292,029","295,737","297,628","304,872","307,250","313,442","315,279"
"Mar 6, 2017",y,putinAndTheRitz.txt,youtube,3:14,dReOdQmt-Qk,.mkv,https://www.youtube.com/watch?v=dReOdQmt-Qk,"340,203","""PUTIN AND THE RITZ""","293,417","297,996","306,990","311,869","314,438","323,069","325,901","332,922","335,011"
"Feb 22, 2017",y,yourMakingThingsUpAgain.txt,youtube,3:52,yf0CKA0zN0g,.webm,https://www.youtube.com/watch?v=yf0CKA0zN0g,"406,811","""You're Making Things Up Again, Donald!""","330,348","341,614","362,611","371,889","377,127","394,676","397,691","401,024","402,425"
"Feb 6, 2017",y,factChecker.txt,youtube,3:39,NLaYDmJYE8k,.mkv,https://www.youtube.com/watch?v=NLaYDmJYE8k,"459,284","""FACT-CHECKER, FACT-CHECKER""","438,284","439,903","444,511","446,727","447,650","451,232","452,472","455,126","456,219"
"Jan 24, 2017",y,alternativeFacts.txt,youtube,3:35,OdV_8TGswRA,.webm,https://www.youtube.com/watch?v=OdV_8TGswRA,"645,283","""ALTERNATIVE FACTS""","617,119","619,749","625,004","627,872","629,242","634,238","636,223","640,127","641,775"
"Jan 17, 2017",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,2:58,IMBwyVGUFls,.mkv,https://www.youtube.com/watch?v=IMBwyVGUFls,"80,677","""Randy Rainbow Interviews Jennifer Holliday""","76,385","76,836","77,562","78,000","78,244","79,095","79,423","80,159","80,379"
"Jan 11, 2017",y,tweetsTweetsNothingButTweets.txt,youtube,3:11,qEVtRrcg3dg,.mkv,https://www.youtube.com/watch?v=qEVtRrcg3dg,"269,412","""TWEETS, TWEETS & NOTHING BUT TWEETS""","258,528","259,456","261,830","263,101","263,629","265,595","266,196","267,495","268,045"
"Jan 9, 2017",n,exitInterviewsBarackObama.txt,youtube,4:02,NEel6Ng2e-0,.webm,https://www.youtube.com/watch?v=NEel6Ng2e-0,"277,443","""Randy Rainbow Exit-Interviews Barack Obama""","239,524","244,618","252,465","256,143","259,211","266,593","268,231","273,659","274,883"
"Dec 14, 2016",n,interviewsDonaldTrumpPart3.txt,youtube,4:10,5e3FuzTPFT0,.mkv,https://www.youtube.com/watch?v=5e3FuzTPFT0,"176,785","""Randy Rainbow Interviews Donald Trump: PART THREE""","164,050","165,317","167,871","169,071","169,674","172,118","173,114","175,351","175,947"
"Nov 22, 2016",y,donaldTrumpGrowUp.txt,youtube,4:18,5Gxp6gzKvXk,.mkv,https://www.youtube.com/watch?v=5Gxp6gzKvXk,"275,470","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","246,664","248,609","256,726","260,226","261,507","266,428","267,871","270,830","272,100"
"Nov 16, 2016",n,interviewsNewFirstFamily.txt,youtube,3:59,o5harjyjggI,.webm,https://www.youtube.com/watch?v=o5harjyjggI,"240,959","""Randy Rainbow Interviews the New First Family!""","205,302","209,292","216,402","220,183","222,948","230,398","232,315","236,940","238,106"
"Nov 10, 2016",y,none,none,2:55,uc87elr2Ohs,.mkv,https://www.youtube.com/watch?v=uc87elr2Ohs,"86,247","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","79,248","79,861","81,149","81,871","82,217","83,480","83,922","85,000","85,376"
"Nov 6, 2016",y,none,none,2:51,G19s4OmvFw8,.mkv,https://www.youtube.com/watch?v=G19s4OmvFw8,"106,890","""TRUMP-PENCE, TRUMP-PENCE""","98,698","99,574","101,597","102,600","103,002","104,288","104,644","105,585","105,944"
"Oct 24, 2016",y,nastyWoman.txt,youtube,3:38,WC7u_IKEWwA,.webm,https://www.youtube.com/watch?v=WC7u_IKEWwA,"276,491","""THE NASTY WOMAN""","261,625","262,960","266,289","267,953","268,583","270,949","271,720","273,658","274,387"
