Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-01-20,2019-11-22,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,,RemovedFromYoutube
"Aug 27, 2018",y,ifEverGotImpeached.txt,youtube,4:04,sWTiFcl9OhU,.webm,https://www.youtube.com/watch?v=sWTiFcl9OhU,"1,468,317","1,393,325","""IF YOU EVER GOT IMPEACHED""",0,0,0,0,0,0,0,0,0,0,0,"43,719","667,127","722,059","762,215","796,597","888,083","917,804","980,580","1,007,355","1,032,939","1,036,662","1,052,077","1,072,039","1,124,764","1,183,234","1,346,269",,
"Aug 21, 2018",y,omarosa.txt,youtube,4:22,7Bv_BWUmWN4,.webm,https://www.youtube.com/watch?v=7Bv_BWUmWN4,"824,343","810,473","""OMAROSA!""",0,0,0,0,0,0,0,0,0,0,"65,886","338,084","489,949","520,665","543,993","565,408","598,642","610,911","636,061","651,891","667,600","670,173","677,361","690,060","718,503","760,055","796,933",,
"Jul 16, 2018",y,stableGenius.txt,youtube,3:12,k-LTRwZb35A,.webm,https://www.youtube.com/watch?v=k-LTRwZb35A,"2,688,700","2,627,727","""A VERY STABLE GENIUS""",0,0,0,0,0,0,0,0,0,"6,212","1,426,860","1,481,779","1,639,039","1,704,857","1,755,800","1,814,698","1,896,143","1,922,205","1,968,448","1,998,407","2,025,987","2,030,228","2,050,914","2,160,303","2,375,099","2,458,858","2,574,018",,
"Jun 21, 2018",y,wtf.txt,youtube,4:29,ygYA7Au9th0,.mkv,https://www.youtube.com/watch?v=ygYA7Au9th0,"675,149","658,028","""WTF, YOU GUYS!?""",0,0,0,0,0,0,0,0,"11,039","209,860","304,086","321,526","384,845","406,863","427,133","444,560","473,435","484,063","506,894","518,307","531,181","533,268","541,570","552,261","588,628","616,226","641,933",,
"Jun 8, 2018",y,commanderOfCheese.txt,youtube,4:14,XFZU1XLwZGg,.mkv,https://www.youtube.com/watch?v=XFZU1XLwZGg,"441,451","431,115","""COMMANDER OF CHEESE!""",0,0,0,0,0,0,0,"13,693","137,239","164,276","200,609","206,934","229,496","238,345","249,213","260,134","277,563","286,036","305,972","319,521","334,342","338,273","346,795","355,411","370,936","394,869","421,362",,
"May 7, 2018",y,rudyAndTheBeast.txt,youtube,4:43,rLtEaZtz1E4,.mkv,https://www.youtube.com/watch?v=rLtEaZtz1E4,"1,021,828","1,000,300","""RUDY and the BEAST""",0,0,0,0,0,0,"7,023","228,008","249,666","274,453","376,637","413,077","524,073","557,405","583,173","604,431","662,261","695,527","748,897","773,747","794,627","798,146","808,977","821,372","860,295","895,894","974,091",,
"Apr 9, 2018",y,none,none,5:01,EBZbwdCHorQ,.webm,https://www.youtube.com/watch?v=EBZbwdCHorQ,"627,319","606,725","""YOU CAN'T STOP HIS TWEETS!""",0,0,0,0,0,"126,308","155,126","198,826","209,029","227,016","287,230","298,777","339,000","352,959","366,212","382,313","412,949","423,915","447,026","456,868","469,645","472,296","483,089","498,637","531,234","560,872","587,272",,
"Mar 16, 2018",n,devos.txt,youtube,3:51,hRQNtWLCSh0,.mkv,https://www.youtube.com/watch?v=hRQNtWLCSh0,"361,392","356,044","""Randy Rainbow Interviews Betsy DeVos!""",0,0,0,0,"36,811","140,000","146,172","159,379","163,226","171,180","201,359","207,434","237,540","248,069","255,984","263,765","280,110","285,601","297,853","304,863","311,554","316,530","321,307","324,314","333,737","341,184","351,042",,
"Mar 5, 2018",y,kids.txt,youtube,3:50,9dcTw-Jk-yE,.mp4,https://www.youtube.com/watch?v=9dcTw-Jk-yE,"486,215","476,028","""KIDS! A Randy Rainbow Song Parody""",0,0,0,"92,401","134,885","194,300","201,408","213,607","217,901","226,594","259,848","270,436","297,150","306,499","317,291","330,762","347,797","352,950","368,521","375,463","382,436","384,407","388,818","393,271","407,484","432,195","465,056",,
"Feb 12, 2018",y,none,none,4:20,nGP0cuilgWE,.webm,https://www.youtube.com/watch?v=nGP0cuilgWE,"677,433","655,967","""STAND BY YOUR MAN (Donald Trump)",0,0,"117,981","142,184","148,032","160,541","163,361","168,989","170,901","175,772","207,373","217,709","266,666","284,704","299,962","319,188","358,205","375,115","409,347","428,838","446,820","450,740","462,381","475,278","514,317","571,720","629,372",,
"Jan 29, 2018",y,none,none,4:28,_4q8x5fR4Sw,.webm,https://www.youtube.com/watch?v=_4q8x5fR4Sw,"992,579","950,402","""ALL ABOUT HIS BASE""",0,"23,454","218,187","245,106","254,986","286,047","295,861","315,559","323,193","342,496","403,812","417,885","486,799","511,731","535,787","562,300","615,115","630,794","668,172","685,591","700,969","703,791","716,692","727,870","793,109","849,106","908,338",,
"Jan 8, 2018",y,buttons.txt,youtube,3:13,kDB5b5aYef4,.webm,https://www.youtube.com/watch?v=kDB5b5aYef4,"361,089","354,394","""Buttons!"" ","114,209","151,464","173,509","179,943","182,826","191,689","195,185","203,693","206,504","209,697","220,352","223,151","238,499","243,821","250,135","255,579","267,197","272,424","283,590","288,945","294,983","296,120","299,697","303,342","313,216","330,600","348,201",,
"Dec 11, 2017",y,sheWasSixteen.txt,youtube,4:59,Y3WhDE-O6lc,.mkv,https://www.youtube.com/watch?v=Y3WhDE-O6lc,"719,421","698,569","""She Was SIXTEEN GOING ON SEVENTEEN""","169,613","189,562","214,218","223,267","227,244","240,566","245,337","261,212","265,713","277,706","332,256","341,679","385,636","405,404","426,714","442,687","472,470","487,301","505,409","512,512","520,858","522,105","528,267","534,648","577,211","620,612","676,634",,
"Nov 14, 2017",y,thoseWereTheGoodOldDays.txt,youtube,4:40,2oW1CN8sbw0,.webm,https://www.youtube.com/watch?v=2oW1CN8sbw0,"573,624","554,836","""THOSE WERE THE GOOD OLD DAYS""","184,650","192,420","210,471","216,603","219,740","230,216","233,538","241,474","244,592","262,102","287,331","293,878","331,277","343,048","354,742","361,512","372,474","376,916","391,395","398,994","409,498","411,441","420,952","427,613","452,421","487,463","524,207",,
"Oct 31, 2017",y,none,none,3:14,U8vD8ZP-eMI,.webm,https://www.youtube.com/watch?v=U8vD8ZP-eMI,"474,815","466,440","""SWEET INDICTMENT""","204,466","209,199","219,045","224,295","226,169","232,588","234,797","239,778","241,766","247,899","275,029","286,140","316,175","324,310","331,443","339,259","357,020","364,488","378,482","386,150","394,193","395,168","398,794","402,953","414,787","430,513","458,351",,
