Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_May-07-18,views_as_of_April-20-18,views_as_of_March-17-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18
"Jun 16, 2017","255,080","260,901",y,russiaTies.txt,youtube,https://www.youtube.com/watch?v=EYgi5MyMqCs,4:15,"299,881","295,792","283,865","""RUSSIA TIES""","273,719","280,493"
"Jun 2, 2017","523,125","534,567",y,none,none,https://www.youtube.com/watch?v=1UW2ZndKqcg,4:19,"584,414","580,631","569,680","""COVFEFE: THE BROADWAY MEDLEY!""","556,248","565,773"
"May 30, 2017","151,719","152,985",y,none,none,https://www.youtube.com/watch?v=XQmFeX_Srhs,3:46,"160,495","159,778","157,798","""Donald Trump's MANGO TOUR!""","155,765","157,247"
"May 15, 2017","207,970","210,420",y,none,none,https://www.youtube.com/watch?v=V2OuJYaz_oE,4:23,"227,241","225,372","219,628","""THE RUSSIAN CONNECTION""","215,341","218,148"
"May 1, 2017","382,746","390,150",y,unpopular.txt,youtube,https://www.youtube.com/watch?v=TPg0BWvhMkA,4:33,"429,847","425,597","413,328","""UNPOPULAR!""","403,774","409,976"
"Apr 21, 2017","123,408","125,675",y,justMyBill.txt,youtube,https://www.youtube.com/watch?v=_H48C_xf8HE,3:11,"137,053","135,983","132,800","""JUST MY BILL (O'Reilly)""","130,112","131,990"
"Apr 6, 2017","212,721","220,275",n,randyRainbowInterviewsIvankaTrump.txt,youtube,https://www.youtube.com/watch?v=LPQYAT3wH_g,3:18,"270,162","267,457","249,893","""Randy Rainbow Interviews Ivanka Trump""","233,385","241,381"
"Mar 19, 2017","101,007","102,292",y,killTheRelease.txt,youtube,https://www.youtube.com/watch?v=ji5nOTjlVuA,2:30,"110,538","109,699","107,349","""KILL THE RELEASE!""","105,325","106,761"
"Mar 15, 2017","280,154","284,506",y,microwaves.txt,youtube,https://www.youtube.com/watch?v=Ub5GkBtIjhc,3:40,"307,250","304,872","297,628","""MICROWAVES (Are Watching You!)""","292,029","295,737"
"Mar 6, 2017","293,417","297,996",y,putinAndTheRitz.txt,youtube,https://www.youtube.com/watch?v=dReOdQmt-Qk,3:14,"325,901","323,069","314,438","""PUTIN AND THE RITZ""","306,990","311,869"
"Feb 22, 2017","330,348","341,614",y,yourMakingThingsUpAgain.txt,youtube,https://www.youtube.com/watch?v=yf0CKA0zN0g,3:52,"397,691","394,676","377,127","""You're Making Things Up Again, Donald!""","362,611","371,889"
"Feb 6, 2017","438,284","439,903",y,factChecker.txt,youtube,https://www.youtube.com/watch?v=NLaYDmJYE8k,3:39,"452,472","451,232","447,650","""FACT-CHECKER, FACT-CHECKER""","444,511","446,727"
