Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,vid length (min),video_link,views_as_of_June-08-18,views_as_of_May-07-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18,views_as_of_April-20-18,views_as_of_March-17-18
"Feb 22, 2017","330,348","341,614",y,yourMakingThingsUpAgain.txt,youtube,3:52,https://www.youtube.com/watch?v=yf0CKA0zN0g,"401,024","397,691","""You're Making Things Up Again, Donald!""","362,611","371,889","394,676","377,127"
"Feb 6, 2017","438,284","439,903",y,factChecker.txt,youtube,3:39,https://www.youtube.com/watch?v=NLaYDmJYE8k,"455,126","452,472","""FACT-CHECKER, FACT-CHECKER""","444,511","446,727","451,232","447,650"
"Jan 24, 2017","617,119","619,749",y,alternativeFacts.txt,youtube,3:35,https://www.youtube.com/watch?v=OdV_8TGswRA,"640,127","636,223","""ALTERNATIVE FACTS""","625,004","627,872","634,238","629,242"
"Jan 17, 2017","76,385","76,836",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,2:58,https://www.youtube.com/watch?v=IMBwyVGUFls,"80,159","79,423","""Randy Rainbow Interviews Jennifer Holliday""","77,562","78,000","79,095","78,244"
"Jan 11, 2017","258,528","259,456",y,tweetsTweetsNothingButTweets.txt,youtube,3:11,https://www.youtube.com/watch?v=qEVtRrcg3dg,"267,495","266,196","""TWEETS, TWEETS & NOTHING BUT TWEETS""","261,830","263,101","265,595","263,629"
"Jan 9, 2017","239,524","244,618",n,exitInterviewsBarackObama.txt,youtube,4:02,https://www.youtube.com/watch?v=NEel6Ng2e-0,"273,659","268,231","""Randy Rainbow Exit-Interviews Barack Obama""","252,465","256,143","266,593","259,211"
"Dec 14, 2016","164,050","165,317",n,interviewsDonaldTrumpPart3.txt,youtube,4:10,https://www.youtube.com/watch?v=5e3FuzTPFT0,"175,351","173,114","""Randy Rainbow Interviews Donald Trump: PART THREE""","167,871","169,071","172,118","169,674"
"Nov 22, 2016","246,664","248,609",y,donaldTrumpGrowUp.txt,youtube,4:18,https://www.youtube.com/watch?v=5Gxp6gzKvXk,"270,830","267,871","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","256,726","260,226","266,428","261,507"
"Nov 16, 2016","205,302","209,292",n,interviewsNewFirstFamily.txt,youtube,3:59,https://www.youtube.com/watch?v=o5harjyjggI,"236,940","232,315","""Randy Rainbow Interviews the New First Family!""","216,402","220,183","230,398","222,948"
"Nov 10, 2016","79,248","79,861",y,none,none,2:55,https://www.youtube.com/watch?v=uc87elr2Ohs,"85,000","83,922","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","81,149","81,871","83,480","82,217"
"Nov 6, 2016","98,698","99,574",y,none,none,2:51,https://www.youtube.com/watch?v=G19s4OmvFw8,"105,585","104,644","""TRUMP-PENCE, TRUMP-PENCE""","101,597","102,600","104,288","103,002"
"Oct 24, 2016","261,625","262,960",y,nastyWoman.txt,youtube,3:38,https://www.youtube.com/watch?v=WC7u_IKEWwA,"273,658","271,720","""THE NASTY WOMAN""","266,289","267,953","270,949","268,583"
"Oct 18, 2016","754,213","766,797",n,interviewsMelaniaTrump.txt,youtube,3:45,https://www.youtube.com/watch?v=oYagr8TdBl0,"818,085","811,011","""RANDY RAINBOW Interviews MELANIA TRUMP!""","790,214","797,357","808,197","799,870"
"Oct 10, 2016","220,307","221,346",y,grabEmBy.txt,youtube,2:14,https://www.youtube.com/watch?v=1jp-PK1TihE,"229,717","227,966","""GRAB 'EM BY THE P***Y! (Censored)""","223,763","224,970","227,313","225,398"
"Oct 6, 2016","91,104","91,538",n,randyRainbowModerates2016VPdebate.txt,youtube,4:03,https://www.youtube.com/watch?v=xGA5O49T_qE,"95,080","94,378","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","92,462","92,925","94,104","93,155"
"Sep 28, 2016","927,568","935,816",y,braggadocious.txt,youtube,2:57,https://www.youtube.com/watch?v=ldfF6chin5s,"959,023","953,934","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","942,104","944,969","951,855","946,285"
"Sep 20, 2016","240,786","241,824",n,interviewsTrumpCampaign.txt,youtube,2:53,https://www.youtube.com/watch?v=fkIDDl1u53g,"252,490","249,977","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","244,357","245,546","248,831","246,225"
"Sep 9, 2016","86,063","86,362",n,interviewsGaryJohnson.txt,youtube,2:18,https://www.youtube.com/watch?v=iYSQH8SFHDY,"89,546","88,774","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""","87,090","87,523","88,491","87,701"
"Sep 3, 2016","100,453","101,312",n,interviewsLatinosForTump.txt,youtube,2:36,https://www.youtube.com/watch?v=8CtrLnBxeNY,"108,071","106,414","""RANDY RAINBOW Interviews LATINOS FOR TRUMP""","102,880","103,767","105,819","104,168"
"Aug 19, 2016","92,667","93,591",n,interviewsTrumpsAttorney.txt,youtube,2:43,https://www.youtube.com/watch?v=JjTqyNe0C1w,"131,448","115,259","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""","95,775","96,970","105,972","97,547"
"Aug 2, 2016","148,006","148,767",n,interviewsDonaldTrumpPart2.txt,youtube,2:37,https://www.youtube.com/watch?v=q81Howk0Dto,"154,083","152,977","""Randy Rainbow Interviews DONALD TRUMP: Part II""","150,134","150,762","152,389","151,105"
"Jul 28, 2016","82,555","83,038",n,interviewsHillaryClintonTimKaine.txt,youtube,3:11,https://www.youtube.com/watch?v=u1XjA0X2uRU,"87,115","86,123","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""","84,009","84,453","85,668","84,645"
"Jul 21, 2016","8,475","10,886",y,yaGotTrumpTrouble.txt,youtube,3:44,https://www.youtube.com/watch?v=5_k1L7IHYx0,"26,861","24,124","""Ya Got Trump Trouble!""","15,358","17,607","22,779","18,714"
"Jun 7, 2016","148,232","151,610",y,sorryYoureNotHamilton.txt,youtube,3:27,https://www.youtube.com/watch?v=S10DtYaIg0g,"178,670","174,801","""SORRY, YOU'RE NOT HAMILTON""","157,648","160,611","172,901","163,546"
"May 19, 2016","166,204","167,043",n,randyRainbowInterviewsDonaldTrump.txt,youtube,2:32,https://www.youtube.com/watch?v=8Dw3DXBeKIM,"173,772","172,263","""Randy Rainbow Interviews Donald Trump""","168,754","169,530","171,545","169,924"
"May 5, 2016","71,113","71,482",y,tedCruzGOPdropout.txt,youtube,3:34,https://www.youtube.com/watch?v=vdB9nTe4ldE,"75,118","74,524","""TED CRUZ GOP DROPOUT""","72,433","73,142","74,309","73,419"
"May 5, 2016","28,523","28,755",y,johnKasichGOPdropout.txt,youtube,3:18,https://www.youtube.com/watch?v=0-XDpLkLNRk,"30,793","30,456","""JOHN KASICH GOP DROPOUT""","29,328","29,737","30,324","29,877"
"Apr 29, 2016","47,820","48,023",y,carlyFiorinaDuet.txt,youtube,2:43,https://www.youtube.com/watch?v=rsWEd-phvyw,"49,927","49,537","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""","48,458","48,738","49,374","48,844"
"Apr 24, 2016","81,567","83,448",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,3:47,https://www.youtube.com/watch?v=vRvsNj1tGQs,"96,626","94,521","""Randy Rainbow Interviews Barbra Streisand""","87,408","89,067","93,282","90,078"
"Mar 16, 2016","64,575","64,911",y,marcoRubioGOPdropout.txt,youtube,3:21,https://www.youtube.com/watch?v=KmGuIssaeEg,"67,693","67,221","""Marco Rubio: GOP DROPOUT""","65,687","66,282","67,051","66,494"
"Mar 4, 2016","41,367","41,723",y,benCarsonGOPdropout.txt,youtube,3:16,https://www.youtube.com/watch?v=KMQgdOLylXo,"45,401","44,592","""Ben Carson: GOP DROPOUT""","42,516","43,096","44,266","43,317"
"Feb 22, 2016","51,194","51,511",y,jobBushGOPdropout.txt,youtube,3:17,https://www.youtube.com/watch?v=7BntyhRqBAA,"53,982","53,531","""Jeb Bush GOP DROPOUT""","52,242","52,772","53,387","52,938"
"Feb 12, 2016","77,885","79,462",y,carlyFiorinaGOPdropout.txt,youtube,3:12,https://www.youtube.com/watch?v=jmssam01R2M,"91,674","89,382","""Carly Fiorina GOP DROPOUT""","82,983","84,673","88,422","85,379"
"Jan 18, 2016","147,033","149,309",y,none,none,2:19,https://www.youtube.com/watch?v=jDxSg1fSrws,"164,657","160,877","""Randy Rainbow Performs at a Donald Trump Rally""","153,051","154,932","159,508","155,879"
"Dec 24, 2015","12,135","12,281",n,merryJewishChristmas.txt,youtube,1:31,https://www.youtube.com/watch?v=TK4PRgXXm9U,"13,196","13,026","""Merry Jewish Christmas""","12,546","12,685","12,955","12,747"
"Oct 21, 2015","42,254","42,576",n,trickOrTreatsKimDavis.txt,youtube,3:54,https://www.youtube.com/watch?v=BgwRl_T1aP8,"45,267","44,818","""Randy Rainbow Trick-or-Treats Kim Davis""","43,427","43,854","44,629","43,999"
"Sep 7, 2015","473,455","475,325",y,kimDavisCellBlockTango.txt,youtube,3:31,https://www.youtube.com/watch?v=14C3TZg6NQM,"491,275","488,188","""The KIM DAVIS Cell Block Tango - Randy Rainbow""","480,516","482,949","487,139","483,774"
"Jun 1, 2015","21,888","21,969",n,randyShiaGetReadyForBed.txt,youtube,1:03,https://www.youtube.com/watch?v=jD-JqOXCrEo,"22,699","22,558","""Randy Rainbow And Shia LaBeouf Get Ready For Bed""","22,162","22,271","22,500","22,313"
"Apr 23, 2015","31,282","31,486",n,interviewsRobertDowneyJr.txt,youtube,2:49,https://www.youtube.com/watch?v=Rq0XX8AcDH0,"33,479","32,619","""Randy Rainbow Interviews Robert Downey Jr.""","31,783","31,973","32,426","32,061"
"Mar 29, 2015","160,979","161,459",y,aSongForIndiana.txt,youtube,2:13,https://www.youtube.com/watch?v=cUA9m-g12ag,"165,684","164,924","""A Song for Indiana - Randy Rainbow""","162,647","163,258","164,615","163,518"
"Dec 23, 2014","21,813","22,376",n,none,none,2:41,https://www.youtube.com/watch?v=5bkjyHwSJYk,"26,579","25,467","""Merry Christmas from Randy Rainbow & Bill Cosby!""","23,478","23,967","25,019","24,177"
"May 20, 2014","9,284","9,381",n,donaldSterlingTalksToRandyRainbow.txt,youtube,3:00,https://www.youtube.com/watch?v=NcMWEgmI84M,"10,540","10,274","""Donald Sterling Talks to Randy Rainbow""","9,607","9,745","10,172","9,818"
"Mar 6, 2014","84,456","85,693",y,adeleDazeem.txt,youtube,3:26,https://www.youtube.com/watch?v=6SgGxP5TqSE,"92,013","91,125","""ADELE DAZEEM""","88,361","89,406","90,771","89,728"
"Dec 25, 2013","55,478","56,200",n,aJewForChristmas.txt,youtube,3:18,https://www.youtube.com/watch?v=wsZyELYDzO0,"59,488","59,081","""Randy Rainbow: A Jew for Christmas""","57,449","58,063","58,882","58,236"
"Aug 30, 2013","7,529","7,777",n,behindTheTiara.txt,youtube,5:50,https://www.youtube.com/watch?v=sYTzq70TsFo,"10,133","9,668","""Behind the Tiara - Randy Rainbow and Ivy Profen""","8,358","8,568","9,384","8,659"
"Aug 1, 2013","52,405","52,846",n,anthonyWeinerDatingRandy.txt,youtube,4:02,https://www.youtube.com/watch?v=3BBiN98XVvE,"56,129","55,607","""Anthony Weiner is Dating Randy Rainbow""","53,966","54,497","55,390","54,690"
"Jan 26, 2013","4,003","4,044",n,newRandyRainbowShow.txt,youtube,1:28,https://www.youtube.com/watch?v=J_JkjjdgaWA,"4,370","4,324","""NEW RANDY RAINBOW SHOW!""","4,129","4,184","4,304","4,212"
"Dec 17, 2012","8,560","8,812",y,susanBoyleAwkwardDiva.txt,youtube,1:35,https://www.youtube.com/watch?v=XcjBQrb202o,"11,044","10,538","""Susan Boyle the Awkward Diva | Randy Rainbow""","9,376","9,646","10,316","9,803"
"Aug 1, 2012","384,517","386,406",n,randyRainbowWorksAtChickFilA.txt,youtube,3:40,https://www.youtube.com/watch?v=jiZLFjbqDxQ,"400,803","397,793","""Randy Rainbow Works at Chick-fil-A""","390,863","392,629","396,593","393,361"
"Jul 15, 2012","36,805","37,503",n,highSchoolMusical.txt,youtube,5:22,https://www.youtube.com/watch?v=JO571wGDucE,"41,822","41,006","""High School Musical Starring Randy Rainbow""","38,712","39,332","40,680","39,656"
"July 5, 2012","47,428","47,784",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,5:27,https://www.youtube.com/watch?v=G-R7qRPiHtE,"50,416","49,891","""Tom Cruise and Anderson Cooper Speed Date""","48,482","48,844","49,660","49,008"
"May 13, 2012","33,455","33,768",n,johnTravoltaHarassesRandy.txt,youtube,4:18,https://www.youtube.com/watch?v=jdMuwTRofR0,"35,970","35,554","""John Travolta Harasses Randy Rainbow""","34,341","34,698","35,393","34,861"
"Mar 11, 2012","54,033","54,164",n,kirkCameronDatingRandy.txt,youtube,4:53,https://www.youtube.com/watch?v=_la4rrc_53c,"55,197","54,982","""Kirk Cameron is Dating Randy Rainbow""","54,415","54,569","54,901","54,634"
"Feb 13, 2012","16,331","16,400",n,mittRomneyKissMe.txt,youtube,4:30,https://www.youtube.com/watch?v=Or2jsyGBxrg,"16,963","16,847","""Mitt Romney, Kiss Me!""","16,531","16,616","16,804","16,666"
"Dec 25, 2011","27,581","28,184",y,rickPerryRandyRainbowXmas.txt,youtube,5:09,https://www.youtube.com/watch?v=1DUYZQHeqjI,"31,182","30,696","""Rick Perry and Randy Rainbow: The XMas Album""","29,177","29,640","30,515","29,830"
"November 13, 2011","18,309","18,391",n,rickPerryGetsDrunkPhoneCall.txt,youtube,4:43,https://www.youtube.com/watch?v=ZQqDWuXT51w,"19,145","18,970","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow""","18,545","18,649","18,899","18,702"
"October 30, 2011","15,219","15,297",n,beaArthurRandyHalloween.txt,youtube,4:08,https://www.youtube.com/watch?v=8kzBfEw44M4,"15,881","15,766","""Bea Arthur and Randy Rainbow's Halloween Special""","15,446","15,526","15,711","15,566"
"October 17, 2011","7,444","7,478",n,theFundraiser.txt,youtube,5:26,https://www.youtube.com/watch?v=YmHu2JRtRug,"7,729","7,684","""The Fundraiser""","7,529","7,567","7,656","7,585"
"July 24, 2011","16,042","16,113",n,marcusBachmannNotGettingMarried.txt,youtube,5:12,https://www.youtube.com/watch?v=mNlTI-P6yTY,"16,614","16,503","""Marcus Bachmann Is Not Getting Married to Randy Rainbow""","16,213","16,289","16,458","16,325"
"May 1, 2011","39,350","40,088",n,royalWedding.txt,youtube,4:52,https://www.youtube.com/watch?v=XlJWmrK7Bu8,"46,335","44,366","""Royal Wedding: The Morning After""","41,692","42,455","43,935","42,795"
"Apr 6, 2011","23,396","24,011",y,americanIdolWelcomesBack.txt,youtube,5:05,https://www.youtube.com/watch?v=uUI3OGHfk9g,"27,836","27,103","""American Idol Welcomes Back Randy Rainbow""","25,168","25,665","26,821","25,951"
"Feb 27, 2011","15,752","15,837",n,charlieSheenRandysNewBoyfriend.txt,youtube,4:42,https://www.youtube.com/watch?v=iHBqXGLsQI0,"16,525","16,395","""Charlie Sheen Is Randy Rainbow's New Boyfriend""","15,990","16,085","16,337","16,147"
"Feb 13, 2011","46,245","46,702",n,melGibsonRandySeekCounseling.txt,youtube,5:40,https://www.youtube.com/watch?v=N__uN_l4Gsc,"49,218","48,818","""Mel Gibson and Randy Rainbow Seek Counseling""","47,380","47,742","48,587","47,925"
"Jan 25, 2011","175,348","180,547",n,americanIdolAudition.txt,youtube,5:05,https://www.youtube.com/watch?v=QHoh82ZwDjw,"212,797","207,739","""American Idol Audition""","192,063","196,142","206,026","198,915"
"Jan 9, 2011","9,068","9,117",n,spiderManCastSaved.txt,youtube,5:13,https://www.youtube.com/watch?v=VChJ4SnyfdQ,"9,425","9,375","""Spider-Man Cast Saved by Randy Rainbow""","9,190","9,238","9,342","9,259"
"Dec 13, 2010","11,583","11,655",n,melGibsonSpendsChristmas.txt,youtube,4:39,https://www.youtube.com/watch?v=JLfxq7t2KX4,"12,225","12,100","""Mel Gibson Spends Christmas with Randy Rainbow""","11,765","11,841","12,047","11,877"
"Nov 18, 2010","8,586","8,637",n,kanyeWestKicksIt.txt,youtube,3:29,https://www.youtube.com/watch?v=icVRIlkn0hk,"9,036","8,958","""Kanye West Kicks It With Randy Rainbow""","8,732","8,778","8,916","8,810"
"Oct 25, 2010","9,581","9,637",n,randyRainbowStars.txt,youtube,4:34,https://www.youtube.com/watch?v=YNOzRXKzEfk,"10,065","9,996","""Randy Rainbow Stars In a Show!""","9,725","9,782","9,946","9,817"
"Oct 3, 2010","11,046","11,080",n,rachelZoeHiresRandy.txt,youtube,4:55,https://www.youtube.com/watch?v=h3qu6KgoORo,"11,377","11,320","""Rachel Zoe Hires Randy Rainbow!""","11,141","11,189","11,288","11,207"
"Sep 13, 2010","30,146","30,323",n,randyRainbowGettingMarried.txt,youtube,5:57,https://www.youtube.com/watch?v=3jkRjULDoFk,"31,611","31,401","""Randy Rainbow Getting Married?""","30,634","30,864","31,303","30,963"
"August 30, 2010","45,427","45,522",n,lindsayLohanGetsCallFromRandy.txt,youtube,4:18,https://www.youtube.com/watch?v=b3bP3t4u8rg,"46,162","46,038","""Lindsay Lohan Gets a Call from Randy Rainbow""","45,668","45,756","45,985","45,811"
"August 19, 2010","22,833","22,927",n,drLauraGetsCallFromRandy.txt,youtube,3:04,https://www.youtube.com/watch?v=h7TQRPqK6ig,"23,921","23,717","""Dr. Laura Gets a Call from Randy Rainbow""","23,143","23,263","23,626","23,345"
"August 1, 2010","45,815","45,895",n,chelseaClintonWedding.txt,youtube,3:23,https://www.youtube.com/watch?v=m1ifaaeii3k,"46,696","46,589","""Chelsea Clinton's Wedding: The Morning After""","46,083","46,369","46,539","46,400"
"May 27, 2010","4,051","4,063",n,none,none,1:24,https://www.youtube.com/watch?v=EW3CCkdhTic,"4,181","4,155","""American Idol Reaction""","4,092","4,102","4,139","4,113"
"May 23, 2010","16,667","16,912",n,oprahAudition.txt,youtube,5:41,https://www.youtube.com/watch?v=oJEVnkNY6Sk,"18,607","18,238","""The Oprah Audition""","17,327","17,550","18,104","17,666"
"May 2, 2010","3,915","3,960",n,previouslyOn.txt,youtube,3:01,https://www.youtube.com/watch?v=iOapmFuX6uc,"4,333","4,273","""Previously On""","4,047","4,114","4,231","4,133"
"Jan 3, 2010","9,090","9,291",n,visionBoard.txt,youtube,7:05,https://www.youtube.com/watch?v=vu_5dOXzmN8,"10,808","10,531","""Randy Rainbow's Vision Board""","9,673","9,913","10,416","10,058"
"Nov 22, 2009","5,895","5,921",n,chadKimballInterview.txt,youtube,9:59,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,"6,205","6,137","""Chad Kimball of the Broadway Show Memphis Interviewed""","5,987","6,028","6,114","6,043"
"May 4, 2009","23,480","23,731",n,mirandaVoiceLessons.txt,youtube,7:14,https://www.youtube.com/watch?v=GWko3MBcGHg,"25,513","25,169","""Miranda Gives Voice Lessons to Randy Rainbow""","24,240","24,501","25,070","24,633"
