DATE,FILE,COLORS,HEX
2018-08-21,inkyDays082118.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-08-22,inkyDays082218.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-08-23,inkyDays082318.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-08-24,inkyDays082418.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-08-25,inkyDays082518.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin),Burnt yellow (Herbin)","#725F5B,#2C5278,#008080,#D7B75B"
2018-08-26,inkyDays082618.jpg,"Italian Oak Black,Italian Light Indigo,Burnt yellow (Herbin),Orange (J.Herbin)","#222222,#B3BFCA,#D7B75B,#FF8C00"
2018-08-27,inkyDays082718.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin),Orange (J.Herbin)","#725F5B,#2C5278,#008080,#FF8C00"
2018-08-28,inkyDays082818.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin),Italian Light Indigo,Orange (J.Herbin)","#725F5B,#2C5278,#008080,#B3BFCA,#FF8C00"
2018-08-29,inkyDays082918.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-08-30,inkyDays083018.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-08-31,inkyDays083118.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-01,inkyDays090118.jpg,"Terre brown (Herbin),Midnight Blue (Herbin)","#725F5B,#2C5278"
2018-09-02,inkyDays090218.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-03,inkyDays090318.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Orange (J.Herbin)","#725F5B,#2C5278,#FF8C00"
2018-09-04,inkyDays090418.jpg,Orange (J.Herbin),#FF8C00
2018-09-05,inkyDays090518.jpg,"Terre brown (Herbin),Midnight Blue (Herbin)","#725F5B,#2C5278"
2018-09-06,inkyDays090618.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-07,inkyDays090718.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-08,inkyDays090818.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-09,inkyDays090918.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-10,inkyDays091018.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-11,inkyDays091118.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin),Orange (J.Herbin)","#725F5B,#2C5278,#008080,#FF8C00"
2018-09-12,inkyDays091218.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin","#725F5B,#2C5278,#008080"
2018-09-13,inkyDays091318.jpg,"Terre brown (Herbin),Midnight Blue (Herbin)","#725F5B,#2C5278"
2018-09-14,inkyDays091418.jpg,"Terre brown (Herbin),Teal blue (Herbin)","#725F5B,#008080"
2018-09-15,inkyDays091518.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-16,inkyDays091618.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-17,inkyDays091718.jpg,"Terre brown (Herbin),Midnight Blue (Herbin)","#725F5B,#2C5278"
2018-09-18,inkyDays091818.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin)","#725F5B,#2C5278,#008080"
2018-09-19,inkyDays091918.jpg,"Terre brown (Herbin),Midnight Blue (Herbin),Teal blue (Herbin),Orange (J.Herbin)","#725F5B,#2C5278,#008080,#FF8C00"
