Date Mailed,Date reported recieved,lat,lon,City,State,Zipcode ,Country,GlobalRegion,Distance From SF,USPS Sectional Center,State_2,SC_lat,SC_lon,Notes,Date Return Env Sent,Date Return Env Arrives,StickerChoice
09/04/2020,9/9/2020,36.988,-121.9566,Soquel,CA,95073,US,NorthAmerica,60,San Jose,CA,37.3895163,-121.8877285,,09/26/2020,09/28/2020,Surprise Me
09/04/2020,9/8/2020,33.4152,-111.8315,Mesa,AZ,85201,US,NorthAmerica,666,Phoenix,AZ,33.4484367,-112.0741417,,09/08/2020,09/12/2020,Blue Floral
09/04/2020,9/8/2020,34.0522,-118.2437,Los Angeles,CA,91343,US,NorthAmerica,347,Santa Clarita,CA,34.427245,-118.637359,,,,Blue Floral
09/04/2020,9/8/2020,41.1537,-81.3579,Kent,OH,44240,US,NorthAmerica,2182,Akron,OH,41.083064,-81.518485,,9/8/2020,09/14/2020,Boxes
09/04/2020,9/9/2020,51.3438,-1.1322,Tadley,Hampshire,265,UK,Europe,5331,,,,,,,,Red Floral
09/04/2020,9/16/2020,49.2827,-123.1207,Vancouver ,"British Columbia , Canada",0000000,Canada,NorthAmerica,794,,,,,,,,Boxes
09/04/2020,9/9/2020,42.3601,-71.0589,Boston,MA,02127,US,NorthAmerica,2692,Boston,MA,42.3508036,-71.0536732,,09/11/20,09/14/2020,Blue Floral
09/04/2020,9/8/2020,32.7157,-117.1611,San Diego,CA,92105,US,NorthAmerica,458,San Diego,CA,32.985109,-117.080026,Sent two envelopes on same day,09/16/2020,09/19/2020,Boxes
09/04/2020,9/9/2020,45.5051,-122.675,Portland,OR,97203,US,NorthAmerica,534,Portland,OR,45.5745309,-122.5932357,,9/10/2020,09/14/2020,Surprise Me
09/04/2020,9/8/2020,38.9795,-90.9807,Troy,MO,63379,US,NorthAmerica,1950,St. Louis,MO,38.6289041,-90.2052258,,,,Blue Floral
09/04/2020,9/9/2020,43.4799,-110.7624,Jackson,WY,83001,US,NorthAmerica,725,Salt Lake City,UT,40.7596198,-111.8867975,,09/11/2020,09/14/2020,Surprise Me
09/09/2020,9/11/2020,37.5485,-121.9886,Fremont,CA,94536,US,NorthAmerica,28,Oakland,CA,37.806449,-122.299967,,,,Surprise Me
09/09/2020,9/12/2020,43.2767,-123.3475,Winchester,OR,97495,US,NorthAmerica,383,Eugene,OR,44.0505054,-123.0950506,,,,Boxes
09/09/2020,9/14/2020,42.3464,-71.1627,Brighton,MA,02135,US,NorthAmerica,2688,Boston,MA,42.3508036,-71.0536732,,09/15/2020,,Surprise Me
09/09/2020,9/14/2020,38.9779,-77.0075,Takoma Park ,MD,20912,US,NorthAmerica,2435,Suburban Maryland,MD,39.1200935,-77.181295,,,,Boxes
09/09/2020,,35.0844,-106.6504,Albuquerque ,NM,87108,US,NorthAmerica,895,Albuquerque,NM,35.0841034,-106.6509851,,,,Blue Floral
09/09/2020,9/12/2020,39.1653,-86.5264,Bloomington,IN,47401,US,NorthAmerica,1930,Indianapolis,IN,39.7683331,-86.1583502,,,,Boxes
09/09/2020,9/12/2020,39.084,-77.1528,Rockville,MD,20851,US,NorthAmerica,2426,Suburban Maryland,MD,39.1200935,-77.181295,,10/01/2020,10/07/2020,Surprise Me
09/09/2020,9/15/2020,39.2037,-76.861,Columbia,MD,21044,US,NorthAmerica,2438,Linthicum,MD,39.2096459,-76.67805,,,,Boxes
09/09/2020,9/17/2020,43.6532,-79.3832,Toronto,ON,00000,Canada,NorthAmerica,2264,,,,,,,,Surprise Me
09/09/2020,9/15/2020,42.1745,-74.0201,Palenville ,NY,12463,US,NorthAmerica,2546,Mid-Hudson,NY,41.513642,-74.113819,,9/16/2020,09/19/2020,Blue Floral
09/09/2020,9/16/2020,42.3876,-71.0995,Somerville,MA,02143,US,NorthAmerica,2690,Boston,MA,42.3508036,-71.0536732,,,,Red Floral
09/09/2020,9/16/2020,36.3062,-81.5134,Fleetwood,NC,28626,US,NorthAmerica,2240,Greensboro,NC,36.1068965,-79.9823012,,09/21/2020,09/25/2020,Surprise Me
09/09/2020,9/12/2020,30.2241,-92.0198,Lafayette ,LA,70506,US,NorthAmerica,1519,Lafayette,LA,30.2240897,-92.0198427,,,,Surprise Me
09/09/2020,9/12/2020,42.2287,-71.5226,Hopkinton,MA,01748,US,NorthAmerica,2671,Central Massachusetts,MA,42.111079,-71.672142,,,,Surprise Me
09/09/2020,9/11/2020,36.9741,-122.0308,Santa Cruz,CA,95060,US,NorthAmerica,59,San Jose,CA,37.3895163,-121.8877285,,09/14/2020,09/16/2020,Blue Floral
09/12/2020,9/14/2020,37.7749,-122.4194,San Francisco,CA,94112,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,09/23/2020,09/26/2020,Boxes
09/12/2020,9/14/2020,38.6857,-121.0822,El Dorado Hills,CA,95762,US,NorthAmerica,96,Sacramento,CA,38.5723865,-121.568224,,,,Surprise Me
09/12/2020,9/15/2020,36.3134,-82.3535,Johnson City,TN,37604,US,NorthAmerica,2195,Knoxville,TN,35.948205,-84.01306,,09/15/2020,,Boxes
09/12/2020,9/19/2020,38.9779,-77.0075,Takoma Park,MD,20912,US,NorthAmerica,2435,Suburban Maryland,MD,39.1200935,-77.181295,,09/17/2020,09/21/2020,Red Floral
09/12/2020,9/15/2020,41.736,-72.795,Farmington,CT,06085,US,NorthAmerica,2439,Hartford,CT,41.789872,-72.661822,,10/23/2020,10/28/2020,Surprise Me
09/12/2020,9/15/2020,41.8781,-87.6298,Chicago,IL,60618,US,NorthAmerica,1854,Chicago,IL,41.874361,-87.636784,,09/19/2020,09/22/2020,Boxes
09/12/2020,9/15/2020,45.5051,-122.675,Portland,OR,97239,US,NorthAmerica,534,Portland,OR,45.5745309,-122.5932357,,,,Red Floral
09/12/2020,9/21/2020,49.2827,-123.1207,Vancouver BC,Canada,000000,Canada,NorthAmerica,794,,,,,,,,Surprise Me
09/12/2020,9/18/2020,55.9533,-3.1883,Edinburgh,Scotland,0123456789,Scotland,Europe,5047,,,,,,09/23/2020,10/2/2020,Boxes
09/12/2020,9/25/2020,46.0569,14.5058,Ljubljana,Slovenia,1000,Slovenia,Europe,6058,,,,,,,,Surprise Me
09/12/2020,9/15/2020,40.0084,-75.2605,Narberth,PA,19072,US,NorthAmerica,2510,Philadelphia,PA,39.904805,-75.23723,,09/16/2020,09/21/2020,Boxes
09/12/2020,9/15/2020,40.0697,-75.1253,Elkins Park,PA,19072,US,NorthAmerica,2517,Philadelphia,PA,39.904805,-75.23723,,09/20/2020,09/25/2020,Blue Floral
09/12/2020,11/10/2020,-37.914,145.369,Selby,Victoria,3159,Australia,EastAsia,7849,,,,,,,,Red Floral
9/18/2020,10/9/2020,30.5083,-97.6789,Round rock,TX,78665,US,NorthAmerica,1495,Austin,TX,30.334243,-97.6668293,,,,Boxes
9/18/2020,9/21/2020,41.6611,-91.5302,Iowa City ,IA,52246,US,NorthAmerica,1654,Cedar Rapids,IA,41.9758872,-91.6704053,,09/22/2020,09/25/2020,Boxes
9/18/2020,,40.6782,-73.9442,Brooklyn,NY,11211,US,NorthAmerica,2566,Brooklyn,NY,40.6637372,-73.8604624,,,,Blue Floral
9/18/2020,9/21/2020,41.8781,-87.6298,Chicago,IL,60640,US,NorthAmerica,1854,Chicago,IL,41.874361,-87.636784,,09/25/2020,09/30/2020,Surprise Me
9/18/2020,9/24/2020,43.6532,-79.3832,Toronto,ON,111111,Canada,NorthAmerica,2264,,,,,,,,Blue Floral
9/18/2020,9/21/2020,34.0522,-118.2437,Los Angeles,CA,90024,US,NorthAmerica,347,Los Angeles,CA,33.9792191,-118.256447,,09/24/2020,09/28/2020,Blue Floral
9/18/2020,,40.8257,-73.6982,Port Washington,NY,11050,US,NorthAmerica,2580,Queens,NY,40.781662,-73.8367022,,,,Boxes
9/18/2020,,37.7749,-122.4194,San Francisco,CA,94131,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,,,Surprise Me
9/18/2020,9/21/2020,37.7749,-122.4194,San Francisco,CA,94114,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,09/23/2020,09/25/2020,Red Floral
9/18/2020,9/22/2020,47.6062,-122.3321,Seattle,Wa,98112,US,NorthAmerica,678,Seattle,WA,47.5069174,-122.2969524,,09/24/2020,09/28/2020,Boxes
9/18/2020,9/22/2020,47.4668,-122.3405,Burien,WA,98168,US,NorthAmerica,669,Seattle,WA,47.5069174,-122.2969524,,09/23/2020,,Boxes
9/18/2020,9/22/2020,37.3688,-122.0363,Sunnyvale,California,94085,US,NorthAmerica,35,San Francisco,CA,37.7790262,-122.4199061,,,,Boxes
9/18/2020,9/22/2020,41.8781,-87.6298,Chicago,IL,60637,US,NorthAmerica,1854,Chicago,IL,41.874361,-87.636784,postmarked 9/28/2020,9/28/2020,10/02/2020,Boxes
9/18/2020,9/23/2020,41.8781,-87.6298,Chicago,IL,60615,US,NorthAmerica,1854,Chicago,IL,41.874361,-87.636784,"from dropbox at 53rd & woodlawn, chicago",09/28/2020,10/02/2020,Boxes
9/18/2020,9/21/2020,41.8781,-87.6298,Chicago,IL,60637,US,NorthAmerica,1854,Chicago,IL,41.874361,-87.636784,,,,Surprise Me
9/18/2020,11/26/2020,-12.0464,-77.0428,Lima,Lima,15086,Peru,SouthAmerica,4524,,,,,,,,Boxes
